title,channel,category_id,publish_time,views,likes,comments
Florida vs. Houston - 2025 men's national championship extended highlights,March Madness,17,2025-04-08T04:07:58Z,827759,9612,1379
Florida vs. Houston Wild Ending 🍿 Final 2 Minutes of the National Championship | 2025 March Madness,Bleacher Report,17,2025-04-08T03:32:18Z,780727,5274,1924
Bad Bunny: Tiny Desk Concert,NPR Music,10,2025-04-07T16:00:06Z,3639230,293381,12219
Mission: Impossible – The Final Reckoning | Official Trailer (2025 Movie) - Tom Cruise,Paramount Pictures,1,2025-04-07T13:00:01Z,9105060,127820,8977
"The First Dire Wolf Howl in Over 10,000 Years",Colossal Biosciences,28,2025-04-07T13:26:01Z,1005726,31747,3742
Scientists Bring the Dire Wolf Back from Extinction,JRE Clips,22,2025-04-07T18:11:55Z,1358390,36908,7282
THE PHOENICIAN SCHEME - Official Trailer [HD] - Only in Theaters May 30,Focus Features,24,2025-04-07T12:26:52Z,5082999,25406,2162
No Longer Extinct? Colossal Biosciences' Dire Wolf Project,TIME,25,2025-04-07T15:50:27Z,821738,26785,4888
I THREW MY DREAM BIRTHDAY PARTY...😭,ADAM RAY OKAY,23,2025-04-08T00:31:00Z,214050,13480,734
"Scientists: Dire wolf brought back from extinction after 13,000 years",ABC News,25,2025-04-08T01:07:40Z,2234261,51816,14833
